Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-06-27 17:23:39,Other,,5.86,13:48,2:22,25.44,245.0,11.48,,"517",2016-06-27-1723.gpx
2016-06-27 08:20:04,Other,,5.86,13:51,2:22,25.37,248.0,35.36,,"509",2016-06-27-0820.gpx
2016-06-24 16:27:57,Other,,5.90,14:15,2:25,24.80,239.0,10.65,,"507",2016-06-24-1627.gpx
2016-06-24 08:44:12,Other,,5.86,16:12,2:46,21.68,288.0,38.39,,"503",2016-06-24-0844.gpx
2016-06-23 17:46:27,Other,,5.85,12:54,2:12,27.20,232.0,33.91,,"519",2016-06-23-1746.gpx
2016-06-23 08:18:03,Other,,5.84,13:46,2:22,25.42,247.0,35.32,,"509",2016-06-23-0818.gpx
2016-06-20 09:08:08,Other,,5.85,17:01,2:55,20.62,271.0,37.30,,"512",2016-06-20-0908.gpx
2016-06-16 17:47:00,Other,,5.86,13:29,2:18,26.04,239.0,10.53,,"519",2016-06-16-1747.gpx
2016-06-16 08:51:30,Other,,5.86,14:04,2:24,24.96,250.0,12.00,,"511",2016-06-16-0851.gpx
2016-06-15 18:33:52,Other,,5.86,15:27,2:38,22.75,264.0,38.45,,"515",2016-06-15-1833.gpx
2016-06-10 16:59:45,Other,,5.87,13:29,2:18,26.11,234.0,36.18,,"511",2016-06-10-1659.gpx
2016-06-10 09:08:45,Other,,5.85,14:04,2:24,24.93,250.0,12.45,,"512",2016-06-10-0908.gpx
2016-06-09 17:34:01,Other,,5.85,16:58,2:54,20.68,256.0,11.09,,"513",2016-06-09-1734.gpx
2016-06-09 09:30:04,Other,,5.85,15:51,2:43,22.10,269.0,34.23,,"513",2016-06-09-0930.gpx
2016-06-08 17:58:45,Other,,5.87,14:23,2:27,24.47,255.0,37.82,,"520",2016-06-08-1758.gpx
2016-06-08 08:16:50,Other,,5.85,13:34,2:19,25.85,242.0,36.64,,"509",2016-06-08-0816.gpx
2016-06-07 15:10:13,Other,,5.87,14:33,2:29,24.16,255.0,11.05,,"517",2016-06-07-1510.gpx
2016-06-07 09:22:45,Other,,5.85,18:31,3:10,18.95,287.0,36.12,,"513",2016-06-07-0922.gpx
2016-06-06 17:59:32,Other,,5.85,13:17,2:17,26.37,238.0,35.89,,"520",2016-06-06-1759.gpx
2016-06-06 08:20:44,Other,,5.85,14:58,2:34,23.44,248.0,35.20,,"509",2016-06-06-0820.gpx
2016-06-03 17:46:11,Other,,5.86,13:07,2:14,26.79,235.0,34.09,,"519",2016-06-03-1746.gpx
2016-06-03 08:29:51,Other,,5.85,14:37,2:30,23.98,257.0,34.95,,"510",2016-06-03-0829.gpx
2016-05-02 18:33:45,Other,,5.65,14:01,2:29,24.16,224.0,31.10,,"515",2016-05-02-1833.gpx
2016-05-02 09:53:16,Other,,5.86,14:46,2:31,23.79,252.0,36.47,,"506",2016-05-02-0953.gpx
2016-04-28 09:57:00,Other,,5.98,19:37,3:17,18.28,260.0,16.47,,"506,construction",2016-04-28-0957.gpx
2016-04-20 17:45:38,Other,,5.87,14:09,2:25,24.88,246.0,11.58,,"519",2016-04-20-1745.gpx
2016-04-20 10:05:40,Other,,5.89,18:43,3:11,18.86,290.0,31.73,,"501",2016-04-20-1005.gpx
2016-04-18 09:15:49,Other,,5.86,13:41,2:20,25.67,235.0,32.94,,"502",2016-04-18-0915.gpx
2016-04-11 17:50:22,Other,,6.02,15:50,2:38,22.79,257.0,33.16,,"519,cubs",2016-04-11-1750.gpx
2016-04-11 08:16:35,Other,,5.85,13:38,2:20,25.73,238.0,32.29,,"509",2016-04-11-0816.gpx
2016-04-08 16:29:57,Other,,5.88,13:31,2:18,26.05,238.0,10.83,,"507",2016-04-08-1629.gpx
2016-04-08 10:09:16,Other,,5.86,14:03,2:24,25.00,246.0,12.18,,"507",2016-04-08-1009.gpx
2016-04-06 18:23:27,Other,,5.90,13:11,2:14,26.80,236.0,34.25,,"514",2016-04-06-1823.gpx
2016-04-06 09:37:09,Other,,5.86,14:37,2:30,24.01,252.0,30.76,,"504",2016-04-06-0937.gpx
2016-04-05 17:33:10,Other,,5.85,13:56,2:23,25.16,232.0,30.16,,"513",2016-04-05-1733.gpx
2016-04-05 09:46:15,Other,,5.88,14:07,2:24,24.96,243.0,32.36,,"505",2016-04-05-0946.gpx
2016-04-04 17:33:04,Other,,5.88,19:10,3:16,18.39,256.0,34.44,,"513",2016-04-04-1733.gpx
2016-04-04 08:18:07,Other,,5.87,13:05,2:14,26.90,232.0,12.09,,"509",2016-04-04-0818.gpx
2016-03-30 18:22:05,Other,,5.90,14:44,2:30,24.02,258.0,31.29,,"514",2016-03-30-1822.gpx
2016-03-29 08:39:52,Other,,5.86,15:37,2:40,22.47,245.0,35.18,,"503",2016-03-29-0839.gpx
2016-03-16 17:11:25,Other,,5.92,18:16,3:05,19.42,285.0,32.22,,"512",2016-03-16-1711.gpx
2016-03-14 18:34:33,Other,,5.84,14:50,2:33,23.58,263.0,35.16,,"515",2016-03-14-1834.gpx
2016-03-14 08:26:42,Other,,5.85,13:49,2:22,25.37,236.0,28.36,,"509",2016-03-14-0826.gpx
2016-03-11 16:28:33,Other,,5.87,14:21,2:27,24.52,250.0,33.77,,"507",2016-03-11-1628.gpx
2016-03-11 09:08:10,Other,,5.87,13:32,2:19,25.97,241.0,34.55,,"512",2016-03-11-0908.gpx
2016-03-09 17:33:23,Other,,5.86,14:43,2:31,23.85,262.0,35.61,,"513",2016-03-09-1733.gpx
2016-03-09 08:57:07,Other,,5.87,15:14,2:36,23.08,260.0,35.92,,"511",2016-03-09-0857.gpx
2016-03-08 17:33:40,Other,,5.88,15:28,2:38,22.78,267.0,37.19,,"513",2016-03-08-1733.gpx
2016-03-08 08:08:58,Other,,5.86,13:07,2:14,26.77,234.0,34.20,,"508",2016-03-08-0808.gpx
2016-03-07 17:45:44,Other,,5.87,15:39,2:40,22.48,278.0,34.28,,"519",2016-03-07-1745.gpx
2016-03-07 08:07:44,Other,,5.84,13:19,2:17,26.28,238.0,35.73,,"508",2016-03-07-0807.gpx
2016-02-24 17:56:53,Other,,5.85,15:17,2:37,22.96,263.0,33.82,,"520",2016-02-24-1756.gpx
2016-02-23 17:32:11,Other,,5.84,15:24,2:38,22.74,274.0,35.68,,"513",2016-02-23-1732.gpx
2016-02-23 07:56:23,Other,,5.87,13:03,2:13,26.98,233.0,33.74,,"507",2016-02-23-0756.gpx
2016-02-22 18:11:52,Other,,5.87,17:06,2:55,20.56,299.0,36.07,,"505/516",2016-02-22-1811.gpx
